ext_no	sp	plot	no	age	dbh	h	Mst	br	leaf	cr	wd	Vst	Vst.5
11	LL	10	1	13	0.104	11.250	16.710	3.417	1.176	NA	0.365	0.046206	0.039188
11	LL	10	2	16	0.117	12.750	21.836	8.586	0.741	2.027	0.351	0.065204	0.052554
11	LL	10	3	15	0.128	13.800	26.346	8.468	3.174	NA	0.350	0.079045	0.063584
11	LL	10	4	15	0.155	15.800	44.937	23.080	8.120	15.441	0.360	0.131792	0.107050
11	LL	10	5	15	0.171	14.700	61.298	23.080	7.470	NA	0.404	0.152844	0.128977
91	LL	11	1	30	0.128	14.900	17.697	9.897	2.655	NA	0.186	0.097078	0.020617
91	LL	11	2	30	0.147	15.300	20.441	8.343	3.817	13.774	0.165	0.132948	0.076915
91	LL	11	3	30	0.162	20.300	93.109	16.226	6.622	NA	0.445	0.214042	0.298419
91	LL	11	4	30	0.180	14.700	28.716	23.792	14.511	22.093	0.188	0.161863	0.315657
91	LL	11	5	29	0.201	19.000	114.676	28.597	7.998	NA	0.440	0.281432	0.526287
89	LL	12	1	30	0.149	20.100	76.970	12.849	2.851	NA	0.435	0.186785	0.001669
89	LL	12	2	31	0.177	21.000	91.953	6.505	2.221	21.467	0.418	0.239659	0.003705
89	LL	12	3	31	0.193	21.650	145.888	26.382	10.234	NA	0.493	0.318344	0.003867
89	LL	12	4	31	0.216	26.000	211.808	34.748	14.211	55.378	0.467	0.480145	0.006965
89	LL	12	5	31	0.239	23.240	218.525	17.640	8.815	NA	0.481	0.499543	0.009364
98	LL	13	1	36	0.134	15.100	53.516	5.853	1.027	NA	0.446	0.120776	0.034746
98	LL	13	2	40	0.174	18.000	83.944	29.271	21.101	24.714	0.408	0.225057	0.073098
98	LL	13	3	45	0.228	21.200	200.609	33.170	5.792	NA	0.437	0.488678	0.090984
98	LL	13	4	45	0.293	18.200	286.527	73.346	4.245	51.893	0.536	0.658944	0.109556
98	LL	13	5	48	0.323	21.400	397.190	120.613	15.214	NA	0.471	0.990650	0.166371
86	LL	14	1	48	0.226	25.800	206.202	34.050	7.338	NA	0.480	0.453000	0.181452
86	LL	14	2	49	0.262	29.900	347.920	31.768	5.377	82.461	0.510	0.719316	0.281057
86	LL	14	3	50	0.298	29.000	422.215	54.800	11.568	NA	0.472	0.943674	0.390774
86	LL	14	4	48	0.357	26.400	582.392	85.562	15.107	209.806	0.561	1.097142	0.467844
86	LL	14	5	48	0.408	28.500	1002.932	155.344	26.595	NA	0.766	1.387935	0.480677
97	LL	15	1	39	0.141	12.900	51.193	16.883	2.711	NA	0.421	0.126240	0.098634
97	LL	15	2	40	0.155	15.200	69.961	16.746	2.917	18.555	0.536	0.151815	0.186124
97	LL	15	3	40	0.173	13.700	81.243	33.546	3.824	NA	0.439	0.176592	0.420411
97	LL	15	4	40	0.222	17.200	144.887	41.575	3.165	33.287	0.533	0.309587	0.796989
97	LL	15	5	41	0.230	17.700	144.648	45.322	4.657	NA	0.437	0.381395	0.489029
182	PR	1	1	32	0.098	8.350	22.248	3.443	1.964	NA	0.555	0.041660	0.095304
182	PR	1	2	34	0.118	9.760	35.239	5.924	3.594	15.914	0.578	0.068171	0.112935
182	PR	1	3	33	0.128	9.560	39.642	8.586	4.733	NA	0.587	0.076234	0.171151
182	PR	1	4	32	0.149	10.160	47.646	10.961	10.301	28.989	0.524	0.099888	0.205701
182	PR	1	5	37	0.158	9.200	52.106	10.036	4.001	NA	0.520	0.105248	0.304108
181	PR	2	1	42	0.153	16.030	70.578	5.128	1.701	NA	0.545	0.139284	0.033311
181	PR	2	2	45	0.170	17.510	114.988	11.946	3.370	37.613	0.556	0.219035	0.050259
181	PR	2	3	46	0.172	15.300	107.623	15.471	7.104	NA	0.555	0.212409	0.058360
181	PR	2	4	47	0.212	19.020	187.808	12.065	8.251	41.923	0.582	0.367546	0.080467
181	PR	2	5	48	0.238	17.000	210.109	15.918	10.209	NA	0.584	0.427338	0.081733
180	PR	3	1	31	0.100	11.700	24.498	2.954	0.465	NA	0.607	0.047024	0.114433
180	PR	3	2	35	0.121	13.550	46.597	4.080	1.932	13.876	0.565	0.090331	0.181295
180	PR	3	3	32	0.131	11.180	40.220	8.521	1.174	NA	0.528	0.086312	0.166369
