model	model_structure	hierarchy	k_depth	family	variable	mean	median	sd	mad	q5	q95
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	b_y1m1_logA_Intercept	0.0177456192519274	0.048752293	0.303203402285827	0.260578062087	-0.5339302	0.4394135455
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	b_y1m1_logk_Intercept	1.82258594923963	1.8929939	0.349501747588983	0.21260906541	1.14802454	2.21093775
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	b_y2_logL_Intercept	-1.57697303286138	-1.3880033	0.61214834011045	0.43248005388	-2.85739122	-0.9319988655
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	b_y2_logA_Intercept	-0.9419773443129	-0.93321379	0.311137962340007	0.279179999658	-1.45204285	-0.450615925000001
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	b_y2_logk_Intercept	0.523737309988468	0.533441235	0.612934601815735	0.6711150154989	-0.469059309	1.511160975
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h1__y1m1_logL_Intercept	0.503300186868523	0.417729785	0.378629395078484	0.264974074869	0.0864768954	1.205290555
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h2__y1m1_logL_Intercept	0.489318958755	0.4754959	0.0946185903233031	0.088117574874	0.357865136	0.662496614
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h1__y1m1_logA_Intercept	0.357954265401425	0.254787835	0.356813318008377	0.2432119694676	0.02253546795	1.04163166
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h2__y1m1_logA_Intercept	0.35444808034225	0.334694855	0.126801850611911	0.109142481147	0.186139734	0.5924022235
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h1__y1m1_logk_Intercept	0.397815546058003	0.26961726	0.417391585566269	0.2609545186899	0.02346279675	1.23927861
