model	model_structure	hierarchy	k_depth	family	response	x	predicted_mean	predicted_median	predicted_sd	pred_q025	pred_q05	pred_q10	pred_q25	pred_q50	pred_q75	pred_q90	pred_q95	pred_q975	is_best_gamma_model
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.733544431654985	1.36459452788606	1.36456723591529	0.00997086480390153	1.34531299947342	1.34833430767214	1.35180847802622	1.35785513305494	1.36456723591529	1.37137728979217	1.3774808758596	1.38128858461781	1.38422628169661	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.743916001351906	1.36438500913696	1.36437958012388	0.0100246098631973	1.34493702058834	1.34802472361787	1.35153038084287	1.35761558927076	1.36437958012388	1.37121644598911	1.37733420180834	1.38114369218748	1.38406375628075	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.754287571048827	1.36419271502448	1.36418532121783	0.0100754705671272	1.34469872437774	1.34774684039307	1.35128684873729	1.35738626761222	1.36418532121783	1.37104428975506	1.37720840351989	1.38098978052604	1.38397089311386	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.764659140745748	1.3640162126314	1.36401464317512	0.010123541690746	1.3444701329464	1.34744680478688	1.35107513659523	1.3571358361307	1.36401464317512	1.37089471400199	1.37708056808757	1.38084963207344	1.38392465363831	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.77503071044267	1.36385418964077	1.36386404764853	0.0101689246560677	1.34412320170336	1.34719602373254	1.35084477444865	1.35695047445896	1.36386404764853	1.37077928326014	1.37696761823612	1.38076952037726	1.38380308323112	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.785402280139591	1.36370544406869	1.36370884792106	0.0102117253896479	1.34380369968802	1.34692620248976	1.35061851494124	1.35677646568235	1.36370884792106	1.37062946430934	1.37690049797166	1.38066745446451	1.38371135367623	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.795773849836512	1.36356887488123	1.36357480276044	0.0102520525463231	1.34358257099909	1.34672725115566	1.35041536819645	1.35663755950742	1.36357480276044	1.37052139932654	1.37681880829148	1.38061370179217	1.38367258983798	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.806145419533433	1.36344347341829	1.36345659863123	0.0102900160451919	1.34338377393297	1.34653603574806	1.35022246657416	1.35649274763814	1.36345659863123	1.37043791769346	1.37672561010153	1.38054913839014	1.38364366062978	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.816516989230355	1.36332831555436	1.36333578899704	0.0103257258713561	1.34317566385867	1.34633911290855	1.35008861406128	1.35635493179819	1.36333578899704	1.37034781014751	1.37666836820983	1.38050803849685	1.38359819794133	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.826888558927276	1.36322255453202	1.36322663271331	0.0103592911034184	1.34303144182956	1.3461729158664	1.34995566275543	1.35624186413538	1.36322663271331	1.37026823433909	1.37661788772751	1.3804136753451	1.38354784641011	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.837260128624197	1.36312541441001	1.36314534611343	0.0103908191323635	1.3427937606498	1.34598610328246	1.34979745338954	1.3561196260111	1.36314534611343	1.37020896537442	1.37656530760911	1.38035038210098	1.38349139051576	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.847631698321118	1.3630361840723	1.36302683198725	0.0104204150423225	1.34257059852484	1.34583192168305	1.34965634900074	1.35602315219404	1.36302683198725	1.37013716160354	1.37652758765293	1.38031950460085	1.3834657484417	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.858003268018039	1.3629542117499	1.36295976133685	0.0104481811279333	1.34232638099701	1.34566237817776	1.34952422426976	1.35592143350239	1.36295976133685	1.37006716033866	1.3764824354277	1.38026227445759	1.38343937395057	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.868374837714961	1.36287890001071	1.36289822051353	0.0104742165266385	1.34220567888369	1.3455321405843	1.34944253499695	1.35582855064796	1.36289822051353	1.3700165008514	1.37642696130192	1.38020236777613	1.38341463738057	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.878746407411882	1.36280970117729	1.3628208507422	0.0104986169473898	1.3420935410025	1.34539363625439	1.3493293976663	1.35574849756565	1.3628208507422	1.36996550186696	1.37637969934258	1.38013398171874	1.3833923563219	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.889117977108803	1.36274611313533	1.36274241598575	0.0105214744799188	1.34199536852086	1.34528440390084	1.34923566853914	1.35567341471892	1.36274241598575	1.36991543311629	1.37634322608057	1.38009254508565	1.38337228700161	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.899489546805724	1.36268767549931	1.36269270096579	0.0105428774710464	1.3419048636768	1.34514573334468	1.34915156754507	1.35560348639488	1.36269270096579	1.36987110537568	1.3763173522576	1.38005944649352	1.38335360458176	FALSE
