sp_code	stand_id	plot	no	age	d	h	Bst	Bbr	Bf	Bcr	wd	Vst	Vst.5	ba	befa.v	befa.st	beft.v	beft.st	bwd	species	PFT	Genus	Family
CJ	111	4	3	41	0.191	15.2	113.487	12.018	34.658	NA	0.538	0.212413	0.031331	0.0286521103989023	754.016938699609	1.41128939878576	NA	NA	0.53427520914445	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	157	7	5	32	0.209	14.4	98.17	19.174	15.607	NA	0.362	0.263988	0.009652	0.0343069771753639	503.625164780217	1.35429357237445	NA	NA	0.371872963922603	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	110	3	4	27	0.166	15.7	82.519	10.011	17.331	35.2	0.439	0.184664	0.059588	0.0216424317905801	594.923753411602	1.33134187278081	785.540224407573	1.75791029944619	0.44686024346922	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	157	7	3	32	0.165	13.9	56.333	10.518	7.739	NA	0.347	0.155932	0.035767	0.0213824649984955	478.349536977657	1.32409067509275	NA	NA	0.361266449477978	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	83	11	3	69	0.463	24.6	724.95	95.692	44.869	141.695	0.406	1.791812	1.108862	0.168365018889348	483.036724834972	1.19389061314573	562.115891622559	1.38934547210152	0.404590436943161	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	39	5	3	38	0.216	15.9	94.696	11.786	21.046	NA	0.344	0.275335	0.257984	0.0366435367114713	463.173951731527	1.34670947030498	NA	NA	0.343930121488369	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	110	3	1	26	0.12	11.4	31.236	4.06	6.214	NA	0.39	0.0788	0.110814	0.0113097335529233	526.776649746193	1.32891535407863	NA	NA	0.396395939086294	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	39	5	4	37	0.217	17.4	106.838	3.834	10.308	NA	0.348	0.307594	0.288275	0.0369836141162224	393.310662756751	1.13236863288343	NA	NA	0.34733447336424	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	111	4	1	38	0.11	14.6	30.051	1.941	3.422	NA	0.474	0.064431	0.072127	0.00950331777710912	549.642252952771	1.17846327909221	NA	NA	0.46640592261489	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	110	3	2	27	0.128	14.1	33.698	8.015	5.66	14.951	0.383	0.086314	0.197851	0.0128679635091038	548.844915077508	1.40581043385364	722.06131102718	1.8494866164164	0.39041175243877	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	157	7	4	33	0.19	13.6	65.994	12.31	7.151	15.96	0.325	0.196297	0.026695	0.0283528736986479	435.335231817093	1.29489044458587	516.640600722375	1.53673061187381	0.336194643830522	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
